# frame tid x y w h state(det|pred)
21 0 79.749 55.279 1.000 1.000 det
21 1 123.926 67.974 1.000 1.000 det
21 2 91.084 86.908 1.000 1.000 det
21 5 74.884 54.589 1.000 1.000 det
21 6 117.874 67.168 1.000 1.000 det
21 7 102.563 84.922 1.000 1.000 det
21 44 84.172 56.096 1.000 1.000 det
21 45 113.162 82.456 1.000 1.000 det
21 46 110.887 66.541 1.000 1.000 det
21 398 88.894 55.262 1.000 1.000 det
21 399 107.852 83.724 1.000 1.000 det
21 3 100.655 68.080 1.000 1.000 det
22 0 84.164 56.097 1.000 1.000 det
22 1 129.771 69.084 1.000 1.000 det
22 2 102.550 84.922 1.000 1.000 det
22 5 79.758 55.279 1.000 1.000 det
22 6 123.930 67.973 1.000 1.000 det
22 7 108.102 83.689 1.000 1.000 det
22 44 88.894 55.263 1.000 1.000 det
22 45 118.839 81.257 1.000 1.000 det
22 46 116.350 67.264 1.000 1.000 det
22 398 93.216 54.095 1.000 1.000 det
22 399 113.168 82.456 1.000 1.000 det
22 3 108.952 66.848 1.000 1.000 det
23 0 88.887 55.263 1.000 1.000 det
23 1 131.000 74.358 1.000 1.000 det
23 2 108.098 83.690 1.000 1.000 det
23 5 84.170 56.097 1.000 1.000 det
23 6 129.779 69.083 1.000 1.000 det
23 7 113.309 82.463 1.000 1.000 det
23 44 93.218 54.097 1.000 1.000 det
23 45 124.154 80.705 1.000 1.000 det
23 46 116.959 67.048 1.000 1.000 det
23 398 97.891 52.241 1.000 1.000 det
23 399 118.849 81.258 1.000 1.000 det
23 3 121.587 68.178 1.000 1.000 det
24 0 93.212 54.097 1.000 1.000 det
24 1 131.000 77.258 1.000 1.000 det
24 2 113.310 82.463 1.000 1.000 det
24 5 88.892 55.264 1.000 1.000 det
24 7 118.918 81.281 1.000 1.000 det
24 44 97.893 52.242 1.000 1.000 det
24 46 129.446 69.014 1.000 1.000 det
24 6 131.000 69.338 1.000 1.000 pred
24 398 102.195 50.070 1.000 1.000 det
24 399 124.164 80.706 1.000 1.000 det
24 45 129.613 79.877 1.000 1.000 pred
24 3 121.890 68.170 1.000 1.000 det
25 0 97.828 51.602 1.700 1.700 det
25 2 113.831 82.183 1.000 1.000 det
25 5 93.215 54.097 1.000 1.000 det
25 7 119.358 81.054 1.000 1.000 det
25 1 131.000 79.464 1.000 1.000 pred
25 44 102.197 50.071 1.000 1.000 det
25 45 129.743 78.803 1.000 1.000 det
25 46 129.154 69.116 1.000 1.000 det
25 398 106.866 48.957 1.000 1.000 det
25 399 124.756 80.529 1.000 1.000 det
25 6 131.000 69.592 1.000 1.000 pred
25 3 131.000 69.552 1.000 1.000 pred
26 0 102.250 49.804 1.210 1.210 det
26 2 118.591 81.208 1.000 1.000 det
26 5 97.830 51.602 1.700 1.700 det
26 7 123.835 80.704 1.000 1.000 det
26 44 106.867 48.957 1.000 1.000 det
26 1 131.000 81.670 1.000 1.000 pred
26 398 111.753 47.917 1.000 1.000 det
26 399 128.979 78.804 1.000 1.000 det
26 45 131.000 77.828 1.000 1.000 pred
26 46 131.000 69.448 1.000 1.000 pred
26 6 131.000 69.846 1.000 1.000 pred
26 3 131.000 69.879 1.000 1.000 pred
27 0 106.911 48.849 1.063 1.063 det
27 2 123.566 80.759 1.000 1.000 det
27 5 102.251 49.804 1.210 1.210 det
27 7 128.646 78.874 1.000 1.000 det
27 44 111.753 47.918 1.000 1.000 det
27 398 115.472 46.796 2.400 2.400 det
27 1 131.000 83.876 1.000 1.000 pred
27 399 131.000 77.829 1.000 1.000 pred
27 45 131.000 76.853 1.000 1.000 pred
27 46 131.000 69.780 1.000 1.000 pred
27 6 131.000 70.101 1.000 1.000 pred
27 3 131.000 70.205 1.000 1.000 pred
28 0 111.770 47.881 1.019 1.019 det
28 2 128.637 78.876 1.000 1.000 det
28 5 106.911 48.849 1.063 1.063 det
28 44 115.472 46.796 2.400 2.400 det
28 7 131.000 77.860 1.000 1.000 pred
28 398 122.364 46.503 2.120 2.820 det
28 1 131.000 86.082 1.000 1.000 pred
28 399 131.000 76.854 1.000 1.000 pred
28 45 131.000 75.878 1.000 1.000 pred
28 46 131.000 70.112 1.000 1.000 pred
28 6 131.000 70.355 1.000 1.000 pred
28 3 131.000 70.531 1.000 1.000 pred
29 0 115.470 46.792 2.406 2.406 det
29 2 131.000 77.812 1.000 1.000 pred
29 5 111.770 47.881 1.019 1.019 det
29 44 120.052 45.904 2.400 2.400 pred
29 7 131.000 76.846 1.000 1.000 pred
29 398 125.540 46.515 2.036 2.946 det
29 1 131.000 88.288 1.000 1.000 pred
29 399 131.000 75.880 1.000 1.000 pred
29 45 131.000 74.903 1.000 1.000 pred
29 46 131.000 70.444 1.000 1.000 pred
29 6 131.000 70.609 1.000 1.000 pred
29 3 131.000 70.857 1.000 1.000 pred
