# frame tid x y w h state(det|pred)
13 7 51.181 81.430 1.147 1.084 det
13 8 47.533 49.574 1.000 1.006 det
13 9 62.135 72.945 1.007 1.007 det
13 10 57.693 81.046 1.044 1.025 det
13 11 51.347 49.222 1.000 1.002 det
13 12 72.880 72.277 1.001 1.001 det
13 13 63.493 81.983 1.007 1.002 det
13 14 57.042 49.508 1.000 1.001 det
13 15 79.224 71.623 1.000 1.000 det
13 16 69.089 83.167 1.002 1.000 det
13 17 61.307 50.432 1.000 1.000 det
13 18 85.957 71.203 1.000 1.000 det
13 19 74.860 85.070 1.001 1.000 det
13 20 83.000 59.000 1.000 1.000 pred
13 21 68.053 60.297 1.000 1.090 det
13 22 67.000 70.563 1.000 1.000 det
14 0 43.014 49.278 1.000 1.019 det
14 1 22.135 69.606 1.700 1.700 pred
14 2 51.450 81.472 1.084 1.021 det
14 4 106.387 60.077 1.000 1.000 pred
14 5 47.657 49.534 1.000 1.006 det
14 6 60.203 72.585 1.020 1.020 det
14 7 57.855 81.013 1.044 1.025 det
14 8 51.419 49.183 1.000 1.002 det
14 9 67.459 72.590 1.002 1.002 det
14 10 63.161 80.634 1.013 1.008 pred
14 11 56.943 49.574 1.000 1.001 det
14 12 79.364 71.585 1.000 1.000 det
14 13 68.977 83.139 1.002 1.001 det
14 14 61.295 50.329 1.000 1.000 det
14 15 85.974 71.233 1.000 1.000 det
14 16 74.822 84.953 1.001 1.000 det
14 17 65.932 51.442 1.000 1.000 det
14 18 92.240 70.430 1.000 1.000 det
14 19 80.184 86.553 1.000 1.000 det
14 20 83.000 59.000 1.000 1.000 pred
14 21 65.924 61.561 1.000 1.027 pred
14 22 71.741 73.217 1.000 1.000 det
15 0 47.788 49.543 1.000 1.006 det
15 1 23.291 69.501 1.700 1.700 pred
15 2 57.990 81.043 1.025 1.006 det
15 4 105.667 59.933 1.000 1.000 pred
15 5 51.510 49.158 1.000 1.002 det
15 6 66.748 72.425 1.006 1.006 det
15 7 63.425 80.586 1.013 1.008 pred
15 8 57.000 49.548 1.000 1.001 det
15 9 73.118 72.341 1.001 1.001 det
15 10 68.871 82.983 1.013 1.008 det
15 11 61.247 50.357 1.000 1.000 det
15 12 86.102 71.204 1.000 1.000 det
15 13 74.762 84.922 1.001 1.000 det
15 14 65.924 51.358 1.000 1.000 det
15 15 92.294 70.446 1.000 1.000 det
15 16 80.167 86.462 1.000 1.000 det
15 17 70.213 53.107 1.000 1.000 det
15 18 98.323 69.458 1.000 1.000 det
15 19 85.866 87.260 1.000 1.000 det
15 20 79.366 69.902 1.000 1.000 det
15 21 63.795 62.793 1.000 1.027 pred
15 22 74.298 77.980 1.000 1.000 pred
16 0 51.595 49.164 1.000 1.002 det
16 1 24.447 69.396 1.700 1.700 pred
16 2 63.557 80.640 1.008 1.002 pred
16 4 104.946 59.789 1.000 1.000 pred
16 5 57.063 49.535 1.000 1.001 det
16 6 73.001 72.314 1.002 1.002 det
16 7 68.974 82.987 1.013 1.008 det
16 8 61.293 50.341 1.000 1.000 det
16 9 78.963 71.581 1.000 1.000 det
16 10 74.400 83.350 1.004 1.002 pred
16 11 65.904 51.365 1.000 1.000 det
16 12 92.384 70.414 1.000 1.000 det
16 13 80.143 86.438 1.000 1.000 det
16 14 70.213 53.038 1.000 1.000 det
16 15 98.383 69.461 1.000 1.000 det
16 16 85.856 87.209 1.000 1.000 det
16 17 74.865 54.539 1.000 1.000 det
16 18 104.694 68.892 1.000 1.000 pred
16 19 91.183 86.964 1.000 1.000 det
16 20 83.393 71.587 1.000 1.000 det
16 21 61.666 64.026 1.000 1.027 pred
16 22 75.287 85.497 1.000 1.000 det
17 0 57.100 49.532 1.000 1.001 det
17 1 25.604 69.291 1.700 1.700 pred
17 2 69.018 82.999 1.008 1.002 det
17 4 98.086 68.871 1.000 1.000 det
17 5 61.333 50.335 1.000 1.000 det
17 6 79.111 71.635 1.001 1.001 det
17 7 74.814 84.962 1.004 1.002 det
17 8 65.937 51.355 1.000 1.000 det
17 9 85.495 71.169 1.000 1.000 det
17 10 79.975 86.149 1.004 1.002 det
17 11 70.212 53.030 1.000 1.000 det
17 12 94.818 70.007 1.000 1.000 det
17 13 85.850 87.195 1.000 1.000 det
17 14 74.865 54.493 1.000 1.000 det
17 15 104.818 68.887 1.000 1.000 pred
17 16 91.182 86.950 1.000 1.000 det
17 17 79.733 55.245 1.000 1.000 det
17 18 111.066 68.325 1.000 1.000 pred
17 19 96.855 86.116 1.000 1.000 det
17 20 83.924 74.068 1.000 1.000 pred
17 21 59.538 65.258 1.000 1.027 pred
17 22 77.338 91.151 1.000 1.000 pred
18 0 61.350 50.327 1.000 1.000 det
18 2 74.822 84.962 1.002 1.001 det
18 4 97.501 69.308 1.000 1.000 det
18 5 65.959 51.354 1.000 1.000 det
18 6 85.717 71.243 1.000 1.000 det
18 7 80.188 86.477 1.001 1.001 det
18 8 70.233 53.024 1.000 1.000 det
18 9 91.802 70.386 1.000 1.000 det
18 10 85.807 87.047 1.001 1.001 det
18 11 74.871 54.481 1.000 1.000 det
18 12 102.450 68.077 1.000 1.000 det
18 13 91.187 86.944 1.000 1.000 det
18 14 79.731 55.222 1.000 1.000 det
18 15 111.077 67.374 1.000 1.000 det
18 16 96.855 86.125 1.000 1.000 det
18 17 84.160 56.079 1.000 1.000 det
18 18 117.084 67.963 1.000 1.000 det
18 19 102.173 84.997 1.000 1.000 det
18 20 84.455 76.549 1.000 1.000 pred
18 21 57.409 66.490 1.000 1.027 pred
18 22 79.389 96.805 1.000 1.000 pred
19 0 65.962 51.343 1.000 1.000 det
19 2 80.181 86.474 1.001 1.000 det
19 4 97.306 69.458 1.000 1.000 det
19 5 70.244 53.025 1.000 1.000 det
19 6 92.025 70.463 1.000 1.000 det
19 7 85.890 87.211 1.000 1.000 det
19 8 74.883 54.479 1.000 1.000 det
19 9 101.467 68.232 1.000 1.000 det
19 10 91.182 86.862 1.000 1.000 det
19 11 79.739 55.213 1.000 1.000 det
19 12 109.957 67.086 1.000 1.000 det
19 13 96.863 86.124 1.000 1.000 det
19 14 84.160 56.070 1.000 1.000 det
19 15 117.189 67.421 1.000 1.000 det
19 16 102.176 85.016 1.000 1.000 det
19 17 88.880 55.329 1.000 1.000 det
19 18 123.144 68.401 1.000 1.000 det
19 19 107.845 83.781 1.000 1.000 det
19 20 84.986 79.030 1.000 1.000 pred
19 21 55.280 67.723 1.000 1.027 pred
19 22 81.439 102.459 1.000 1.000 pred
20 0 70.241 53.014 1.000 1.000 det
20 2 85.877 87.210 1.000 1.000 det
20 4 97.363 69.429 1.000 1.000 det
20 5 74.887 54.480 1.000 1.000 det
20 6 101.592 68.319 1.000 1.000 det
20 7 91.214 86.940 1.000 1.000 det
20 8 79.745 55.212 1.000 1.000 det
20 9 110.032 67.113 1.000 1.000 det
20 10 96.882 86.090 1.000 1.000 det
20 11 84.168 56.063 1.000 1.000 det
20 12 116.763 67.227 1.000 1.000 det
20 13 102.185 85.019 1.000 1.000 det
20 14 88.880 55.333 1.000 1.000 det
20 15 123.218 68.061 1.000 1.000 det
20 16 107.847 83.801 1.000 1.000 det
20 17 93.220 54.221 1.000 1.000 det
20 18 129.161 69.192 1.000 1.000 det
20 19 113.166 82.557 1.000 1.000 det
20 20 85.517 81.510 1.000 1.000 pred
20 21 53.151 68.955 1.000 1.027 pred
20 22 83.490 108.112 1.000 1.000 pred
21 0 74.881 54.471 1.000 1.000 det
21 2 91.461 88.155 1.000 1.000 pred
21 4 101.171 68.103 1.000 1.000 det
21 5 79.745 55.214 1.000 1.000 det
21 6 110.103 67.178 1.000 1.000 det
21 7 96.883 86.107 1.000 1.000 det
21 8 84.171 56.063 1.000 1.000 det
21 9 117.267 67.199 1.000 1.000 det
21 10 102.209 85.009 1.000 1.000 det
21 11 88.887 55.331 1.000 1.000 det
21 12 123.150 67.984 1.000 1.000 det
21 13 107.855 83.805 1.000 1.000 det
21 14 93.221 54.232 1.000 1.000 det
21 15 129.197 69.042 1.000 1.000 det
21 16 113.169 82.575 1.000 1.000 det
21 17 98.171 52.120 1.000 1.000 det
21 18 131.000 69.247 1.000 1.000 pred
21 19 118.839 81.366 1.000 1.000 det
21 20 90.675 85.870 1.000 1.000 det
21 21 51.022 70.187 1.000 1.027 pred
21 22 85.541 113.766 1.000 1.000 pred
21 23 28.000 62.000 1.000 1.000 det
22 0 79.738 55.208 1.000 1.000 det
22 2 97.012 86.160 1.000 1.000 det
22 4 107.781 67.288 1.000 1.000 det
22 5 84.169 56.065 1.000 1.000 det
22 6 117.324 67.227 1.000 1.000 det
22 7 102.196 84.996 1.000 1.000 det
22 8 88.887 55.332 1.000 1.000 det
22 9 123.763 67.938 1.000 1.000 det
22 10 107.878 83.805 1.000 1.000 det
22 11 93.226 54.232 1.000 1.000 det
22 12 129.295 69.048 1.000 1.000 det
22 13 113.175 82.578 1.000 1.000 det
22 14 98.171 52.133 1.000 1.000 det
22 15 131.000 69.197 1.000 1.000 pred
22 16 118.841 81.379 1.000 1.000 det
22 17 102.013 49.732 1.700 1.700 det
22 18 131.000 69.301 1.000 1.000 pred
