# frame tid x y w h state(det|pred)
20 7 97.399 86.063 1.000 1.000 det
20 8 84.178 56.093 1.000 1.000 det
20 9 107.857 83.726 1.000 1.000 det
20 10 103.242 67.265 1.000 1.000 det
20 11 79.752 55.280 1.000 1.000 det
20 12 102.165 85.040 1.000 1.000 det
20 3 95.034 69.671 1.000 1.000 det
21 0 79.749 55.279 1.000 1.000 det
21 1 117.871 67.169 1.000 1.000 det
21 2 97.385 86.065 1.000 1.000 det
21 5 74.884 54.589 1.000 1.000 det
21 6 123.929 67.973 1.000 1.000 det
21 7 102.558 84.921 1.000 1.000 det
21 8 88.893 55.262 1.000 1.000 det
21 9 113.162 82.456 1.000 1.000 det
21 10 110.887 66.541 1.000 1.000 det
21 11 84.173 56.096 1.000 1.000 det
21 12 107.852 83.724 1.000 1.000 det
21 3 100.655 68.080 1.000 1.000 det
22 0 84.164 56.097 1.000 1.000 det
22 1 123.924 67.974 1.000 1.000 det
22 2 102.551 84.922 1.000 1.000 det
22 5 79.758 55.279 1.000 1.000 det
22 6 129.777 69.083 1.000 1.000 det
22 7 108.101 83.689 1.000 1.000 det
22 8 93.214 54.097 1.000 1.000 det
22 9 118.839 81.257 1.000 1.000 det
22 10 117.599 66.902 1.000 1.000 det
22 11 88.897 55.262 1.000 1.000 det
22 12 113.168 82.456 1.000 1.000 det
22 3 107.698 67.212 1.000 1.000 det
23 0 88.887 55.263 1.000 1.000 det
23 1 129.773 69.083 1.000 1.000 det
23 2 108.098 83.689 1.000 1.000 det
23 5 84.170 56.097 1.000 1.000 det
23 6 131.000 74.358 1.000 1.000 det
23 7 113.310 82.463 1.000 1.000 det
23 8 97.888 52.242 1.000 1.000 det
23 9 124.154 80.705 1.000 1.000 det
23 10 123.786 67.839 1.000 1.000 det
23 11 93.221 54.095 1.000 1.000 det
23 12 118.849 81.258 1.000 1.000 det
23 3 114.752 67.387 1.000 1.000 det
24 0 93.212 54.097 1.000 1.000 det
24 2 110.411 83.042 1.000 1.000 det
24 5 88.892 55.264 1.000 1.000 det
24 6 131.000 77.257 1.000 1.000 det
24 7 115.442 81.861 1.000 1.000 det
24 1 131.000 69.338 1.000 1.000 pred
24 8 102.192 50.071 1.000 1.000 det
24 9 126.360 80.528 1.000 1.000 det
24 10 129.718 69.030 1.000 1.000 det
24 11 97.895 52.241 1.000 1.000 det
24 12 121.266 80.706 1.000 1.000 det
24 3 121.615 68.155 1.000 1.000 det
25 0 97.828 51.602 1.700 1.700 det
25 2 113.830 82.182 1.000 1.000 det
25 5 93.215 54.097 1.000 1.000 det
25 7 119.358 81.054 1.000 1.000 det
25 8 106.864 48.958 1.000 1.000 det
25 9 129.743 78.803 1.000 1.000 det
25 6 131.000 79.464 1.000 1.000 pred
25 1 131.000 69.592 1.000 1.000 pred
25 11 102.199 50.070 1.000 1.000 det
25 12 124.756 80.529 1.000 1.000 det
25 10 131.000 69.315 1.000 1.000 pred
25 3 128.237 69.216 1.000 1.000 det
26 0 102.250 49.804 1.210 1.210 det
26 2 118.590 81.207 1.000 1.000 det
26 5 97.830 51.602 1.700 1.700 det
26 7 123.836 80.705 1.000 1.000 det
26 8 111.751 47.918 1.000 1.000 det
26 11 106.868 48.957 1.000 1.000 det
26 12 128.979 78.804 1.000 1.000 det
26 9 131.000 77.828 1.000 1.000 pred
26 6 131.000 81.670 1.000 1.000 pred
26 1 131.000 69.846 1.000 1.000 pred
26 10 131.000 69.601 1.000 1.000 pred
26 3 131.000 69.544 1.000 1.000 pred
27 0 106.911 48.849 1.063 1.063 det
27 2 123.566 80.759 1.000 1.000 det
27 5 102.251 49.804 1.210 1.210 det
27 7 128.647 78.874 1.000 1.000 det
27 8 115.471 46.796 2.400 2.400 det
