# frame tid x y w h state(det|pred)
22 8 110.538 66.626 1.000 1.000 det
22 9 89.305 55.313 1.000 1.000 det
22 3 78.585 55.090 1.000 1.000 det
23 0 98.175 52.503 1.000 1.000 det
23 1 123.215 67.906 1.000 1.000 det
23 2 108.193 83.874 1.000 1.000 det
23 4 129.207 68.961 1.000 1.000 det
23 5 113.394 82.619 1.000 1.000 det
23 6 89.381 55.360 1.000 1.000 det
23 7 118.850 81.422 1.000 1.000 det
23 8 116.894 66.910 1.000 1.000 det
23 9 93.555 54.201 1.000 1.000 det
23 3 83.449 55.954 1.000 1.000 det
24 0 102.389 50.360 1.000 1.000 det
24 1 129.218 68.931 1.000 1.000 det
24 2 113.413 82.667 1.000 1.000 det
24 4 131.000 74.400 1.000 1.000 det
24 5 118.988 81.442 1.000 1.000 det
24 6 93.625 54.297 1.000 1.000 det
24 7 124.175 80.814 1.000 1.000 det
24 8 123.076 67.732 1.000 1.000 det
24 9 98.138 52.397 1.000 1.000 det
24 3 88.508 55.048 1.000 1.000 det
25 0 106.985 49.222 1.000 1.000 det
25 2 115.671 82.001 1.000 1.000 det
25 1 131.000 69.060 1.000 1.000 pred
25 4 131.000 77.445 1.000 1.000 det
25 5 121.503 80.832 1.000 1.000 det
25 6 98.108 51.888 1.700 1.700 det
25 7 126.550 80.559 1.000 1.000 det
25 8 129.151 68.830 1.000 1.000 det
25 9 102.370 50.258 1.000 1.000 det
25 3 93.012 53.892 1.000 1.000 det
26 0 111.799 48.120 1.000 1.000 det
26 2 119.615 81.160 1.000 1.000 det
26 5 125.016 80.583 1.000 1.000 det
26 1 131.000 69.182 1.000 1.000 pred
26 6 102.458 50.113 1.210 1.210 det
26 4 131.000 79.687 1.000 1.000 pred
26 7 129.991 78.863 1.000 1.000 det
26 8 131.000 68.956 1.000 1.000 pred
26 9 106.981 49.147 1.000 1.000 det
26 3 97.769 51.409 1.700 1.700 det
27 0 115.500 46.889 2.400 2.400 det
27 2 124.055 80.756 1.000 1.000 det
27 5 129.207 78.890 1.000 1.000 det
27 6 107.053 49.121 1.063 1.063 det
27 1 131.000 69.299 1.000 1.000 pred
27 4 131.000 81.937 1.000 1.000 pred
27 7 131.000 77.923 1.000 1.000 pred
27 9 111.806 48.069 1.000 1.000 det
27 8 131.000 69.073 1.000 1.000 pred
27 3 102.228 49.685 1.210 1.210 det
28 0 122.215 46.486 2.120 2.820 det
28 2 128.780 78.975 1.000 1.000 det
28 6 111.842 48.083 1.019 1.019 det
28 5 131.000 77.969 1.000 1.000 pred
28 1 131.000 69.412 1.000 1.000 pred
28 4 131.000 84.189 1.000 1.000 pred
28 9 115.507 46.860 2.400 2.400 det
28 7 131.000 76.986 1.000 1.000 pred
28 3 106.925 48.822 1.063 1.063 det
28 8 131.000 69.186 1.000 1.000 pred
29 0 127.332 45.781 2.120 2.820 pred
29 2 131.000 78.027 1.000 1.000 pred
29 6 115.520 46.881 2.406 2.406 det
29 5 131.000 77.052 1.000 1.000 pred
29 1 131.000 69.525 1.000 1.000 pred
29 4 131.000 86.440 1.000 1.000 pred
29 9 122.235 46.473 2.120 2.820 det
29 7 131.000 76.049 1.000 1.000 pred
29 3 111.793 47.885 1.019 1.019 det
29 8 131.000 69.296 1.000 1.000 pred
